"Rank","City","State","Total cases as of 3/30"
2837,"Haskell","Oklahoma",0
2838,"Hughes","Oklahoma",0
2839,"Jefferson","Oklahoma",0
2840,"Johnston","Oklahoma",0
2841,"Kingfisher","Oklahoma",0
2842,"Kiowa","Oklahoma",0
2843,"McCurtain","Oklahoma",0
2844,"McIntosh","Oklahoma",0
2845,"Major","Oklahoma",0
2846,"Marshall","Oklahoma",0
2847,"Murray","Oklahoma",0
2848,"Okfuskee","Oklahoma",0
2849,"Pushmataha","Oklahoma",0
2850,"Roger Mills","Oklahoma",0
2851,"Tillman","Oklahoma",0
2852,"Washita","Oklahoma",0
2853,"Woods","Oklahoma",0
2854,"Woodward","Oklahoma",0
2855,"Baker","Oregon",0
2856,"Coos","Oregon",0
2857,"Crook","Oregon",0
2858,"Curry","Oregon",0
2859,"Gilliam","Oregon",0
2860,"Harney","Oregon",0
2861,"Jefferson","Oregon",0
2862,"Lake","Oregon",0
2863,"Malheur","Oregon",0
2864,"Sherman","Oregon",0
2865,"Wallowa","Oregon",0
2866,"Wheeler","Oregon",0
2867,"Bedford","Pennsylvania",0
2868,"Clinton","Pennsylvania",0
2869,"Elk","Pennsylvania",0
2870,"Forest","Pennsylvania",0
2871,"Fulton","Pennsylvania",0
2872,"Jefferson","Pennsylvania",0
2873,"Sullivan","Pennsylvania",0
2874,"Wyoming","Pennsylvania",0
2875,"Allendale","South Carolina",0
2876,"Bamberg","South Carolina",0
2877,"Cherokee","South Carolina",0
2878,"McCormick","South Carolina",0
2879,"Bennett","South Dakota",0
2880,"Brule","South Dakota",0
2881,"Buffalo","South Dakota",0
2882,"Campbell","South Dakota",0
2883,"Corson","South Dakota",0
2884,"Custer","South Dakota",0
2885,"Day","South Dakota",0
2886,"Dewey","South Dakota",0
2887,"Douglas","South Dakota",0
2888,"Edmunds","South Dakota",0
2889,"Grant","South Dakota",0
2890,"Gregory","South Dakota",0
2891,"Haakon","South Dakota",0
2892,"Hand","South Dakota",0
2893,"Hanson","South Dakota",0
2894,"Harding","South Dakota",0
2895,"Hyde","South Dakota",0
2896,"Jackson","South Dakota",0
2897,"Jerauld","South Dakota",0
2898,"Jones","South Dakota",0
2899,"Kingsbury","South Dakota",0
2900,"Lake","South Dakota",0
2901,"McPherson","South Dakota",0
2902,"Mellette","South Dakota",0
2903,"Miner","South Dakota",0
2904,"Moody","South Dakota",0
2905,"Oglala Lakota","South Dakota",0
2906,"Perkins","South Dakota",0
2907,"Potter","South Dakota",0
2908,"Sanborn","South Dakota",0
2909,"Spink","South Dakota",0
2910,"Stanley","South Dakota",0
2911,"Sully","South Dakota",0
2912,"Tripp","South Dakota",0
2913,"Walworth","South Dakota",0
2914,"Ziebach","South Dakota",0
2915,"Clay","Tennessee",0
2916,"Crockett","Tennessee",0
2917,"Fentress","Tennessee",0
2918,"Grainger","Tennessee",0
2919,"Hancock","Tennessee",0
2920,"Henderson","Tennessee",0
2921,"Hickman","Tennessee",0
2922,"Humphreys","Tennessee",0
2923,"Jackson","Tennessee",0
2924,"Lake","Tennessee",0
2925,"Lauderdale","Tennessee",0
2926,"Lawrence","Tennessee",0
2927,"Marshall","Tennessee",0
2928,"Moore","Tennessee",0
2929,"Pickett","Tennessee",0
2930,"Polk","Tennessee",0
2931,"Rhea","Tennessee",0
2932,"Sequatchie","Tennessee",0
2933,"Stewart","Tennessee",0
2934,"Van Buren","Tennessee",0
2935,"Warren","Tennessee",0
2936,"Wayne","Tennessee",0
2937,"Anderson","Texas",0
2938,"Archer","Texas",0
2939,"Armstrong","Texas",0
2940,"Bailey","Texas",0
2941,"Bandera","Texas",0
2942,"Baylor","Texas",0
2943,"Bee","Texas",0
2944,"Borden","Texas",0
2945,"Bosque","Texas",0
2946,"Brewster","Texas",0
2947,"Briscoe","Texas",0
2948,"Brooks","Texas",0
2949,"Callahan","Texas",0
2950,"Camp","Texas",0
2951,"Carson","Texas",0
2952,"Childress","Texas",0
2953,"Clay","Texas",0
2954,"Cochran","Texas",0
2955,"Coke","Texas",0
2956,"Coleman","Texas",0
2957,"Collingsworth","Texas",0
2958,"Colorado","Texas",0
2959,"Concho","Texas",0
2960,"Cooke","Texas",0
2961,"Cottle","Texas",0
2962,"Crockett","Texas",0
2963,"Crosby","Texas",0
2964,"Culberson","Texas",0
2965,"Dallam","Texas",0
2966,"Delta","Texas",0
2967,"Dickens","Texas",0
2968,"Dimmit","Texas",0
2969,"Donley","Texas",0
2970,"Duval","Texas",0
2971,"Edwards","Texas",0
2972,"Fisher","Texas",0
2973,"Floyd","Texas",0
2974,"Foard","Texas",0
2975,"Freestone","Texas",0
2976,"Frio","Texas",0
2977,"Garza","Texas",0
2978,"Gillespie","Texas",0
2979,"Glasscock","Texas",0
2980,"Goliad","Texas",0
2981,"Gonzales","Texas",0
2982,"Gray","Texas",0
2983,"Hall","Texas",0
2984,"Hamilton","Texas",0
2985,"Hansford","Texas",0
2986,"Hardeman","Texas",0
2987,"Hartley","Texas",0
2988,"Haskell","Texas",0
2989,"Hemphill","Texas",0
2990,"Houston","Texas",0
2991,"Howard","Texas",0
2992,"Hudspeth","Texas",0
2993,"Hutchinson","Texas",0
2994,"Irion","Texas",0
2995,"Jack","Texas",0
2996,"Jeff Davis","Texas",0
2997,"Jim Hogg","Texas",0
2998,"Jim Wells","Texas",0
2999,"Jones","Texas",0
3000,"Kenedy","Texas",0
3001,"Kent","Texas",0
3002,"Kerr","Texas",0
3003,"Kimble","Texas",0
3004,"King","Texas",0
3005,"Kinney","Texas",0
3006,"Knox","Texas",0
3007,"Lampasas","Texas",0
3008,"La Salle","Texas",0
3009,"Lee","Texas",0
3010,"Lipscomb","Texas",0
3011,"Live Oak","Texas",0
3012,"Loving","Texas",0
3013,"McCulloch","Texas",0
3014,"McMullen","Texas",0
3015,"Madison","Texas",0
3016,"Marion","Texas",0
3017,"Mason","Texas",0
3018,"Menard","Texas",0
3019,"Mills","Texas",0
3020,"Mitchell","Texas",0
3021,"Motley","Texas",0
3022,"Newton","Texas",0
3023,"Nolan","Texas",0
3024,"Ochiltree","Texas",0
3025,"Palo Pinto","Texas",0
3026,"Panola","Texas",0
3027,"Parmer","Texas",0
3028,"Pecos","Texas",0
3029,"Presidio","Texas",0
3030,"Rains","Texas",0
3031,"Reagan","Texas",0
3032,"Real","Texas",0
3033,"Red River","Texas",0
3034,"Refugio","Texas",0
3035,"Roberts","Texas",0
3036,"Runnels","Texas",0
3037,"Sabine","Texas",0
3038,"San Augustine","Texas",0
3039,"San Saba","Texas",0
3040,"Schleicher","Texas",0
3041,"Scurry","Texas",0
3042,"Shackelford","Texas",0
3043,"Sherman","Texas",0
3044,"Somervell","Texas",0
3045,"Stephens","Texas",0
3046,"Sterling","Texas",0
3047,"Stonewall","Texas",0
3048,"Sutton","Texas",0
3049,"Terrell","Texas",0
3050,"Throckmorton","Texas",0
3051,"Titus","Texas",0
3052,"Trinity","Texas",0
3053,"Tyler","Texas",0
3054,"Upton","Texas",0
3055,"Ward","Texas",0
3056,"Wheeler","Texas",0
3057,"Wilbarger","Texas",0
3058,"Winkler","Texas",0
3059,"Wood","Texas",0
3060,"Zapata","Texas",0
3061,"Zavala","Texas",0
3062,"Carbon","Utah",0
3063,"Daggett","Utah",0
3064,"Duchesne","Utah",0
3065,"Emery","Utah",0
3066,"Juab","Utah",0
3067,"Kane","Utah",0
3068,"Millard","Utah",0
3069,"Morgan","Utah",0
3070,"Piute","Utah",0
3071,"Rich","Utah",0
3072,"Sanpete","Utah",0
3073,"Sevier","Utah",0
3074,"Uintah","Utah",0
3075,"Wayne","Utah",0
3076,"Essex","Vermont",0
3077,"Grand Isle","Vermont",0
3078,"Appomattox","Virginia",0
3079,"Augusta","Virginia",0
3080,"Bath","Virginia",0
3081,"Bland","Virginia",0
3082,"Brunswick","Virginia",0
3083,"Buchanan","Virginia",0
3084,"Buckingham","Virginia",0
3085,"Campbell","Virginia",0
3086,"Caroline","Virginia",0
3087,"Carroll","Virginia",0
3088,"Charlotte","Virginia",0
3089,"Clarke","Virginia",0
3090,"Craig","Virginia",0
3091,"Cumberland","Virginia",0
3092,"Dickenson","Virginia",0
3093,"Dinwiddie","Virginia",0
3094,"Essex","Virginia",0
3095,"Floyd","Virginia",0
3096,"Giles","Virginia",0
3097,"Grayson","Virginia",0
3098,"Highland","Virginia",0
3099,"King and Queen","Virginia",0
3100,"Lunenburg","Virginia",0
3101,"Middlesex","Virginia",0
3102,"Page","Virginia",0
3103,"Patrick","Virginia",0
3104,"Pulaski","Virginia",0
3105,"Rappahannock","Virginia",0
3106,"Russell","Virginia",0
3107,"Scott","Virginia",0
3108,"Surry","Virginia",0
3109,"Sussex","Virginia",0
3110,"Wise","Virginia",0
3111,"Buena Vista","Virginia",0
3112,"Colonial Heights","Virginia",0
3113,"Covington","Virginia",0
3114,"Emporia","Virginia",0
3115,"Falls Church","Virginia",0
3116,"Franklin City","Virginia",0
3117,"Lexington","Virginia",0
3118,"Martinsville","Virginia",0
3119,"Norton","Virginia",0
3120,"Salem","Virginia",0
3121,"Staunton","Virginia",0
3122,"Waynesboro","Virginia",0
3123,"Asotin","Washington",0
3124,"Pacific","Washington",0
3125,"Pend Oreille","Washington",0
3126,"Wahkiakum","Washington",0
3127,"Barbour","West Virginia",0
3128,"Boone","West Virginia",0
3129,"Braxton","West Virginia",0
3130,"Brooke","West Virginia",0
3131,"Calhoun","West Virginia",0
3132,"Clay","West Virginia",0
3133,"Doddridge","West Virginia",0
3134,"Fayette","West Virginia",0
3135,"Gilmer","West Virginia",0
3136,"Grant","West Virginia",0
3137,"Hampshire","West Virginia",0
3138,"Hardy","West Virginia",0
3139,"Lewis","West Virginia",0
3140,"Lincoln","West Virginia",0
3141,"McDowell","West Virginia",0
3142,"Mineral","West Virginia",0
3143,"Mingo","West Virginia",0
3144,"Monroe","West Virginia",0
3145,"Nicholas","West Virginia",0
3146,"Pendleton","West Virginia",0
3147,"Pocahontas","West Virginia",0
3148,"Ritchie","West Virginia",0
3149,"Summers","West Virginia",0
3150,"Taylor","West Virginia",0
3151,"Tyler","West Virginia",0
3152,"Wayne","West Virginia",0
3153,"Webster","West Virginia",0
3154,"Wyoming","West Virginia",0
3155,"Adams","Wisconsin",0
3156,"Ashland","Wisconsin",0
3157,"Barron","Wisconsin",0
3158,"Buffalo","Wisconsin",0
3159,"Burnett","Wisconsin",0
3160,"Crawford","Wisconsin",0
3161,"Door","Wisconsin",0
3162,"Florence","Wisconsin",0
3163,"Forest","Wisconsin",0
3164,"Green Lake","Wisconsin",0
3165,"Kewaunee","Wisconsin",0
3166,"Lafayette","Wisconsin",0
3167,"Langlade","Wisconsin",0
3168,"Lincoln","Wisconsin",0
3169,"Manitowoc","Wisconsin",0
3170,"Menominee","Wisconsin",0
3171,"Oconto","Wisconsin",0
3172,"Pepin","Wisconsin",0
3173,"Polk","Wisconsin",0
3174,"Price","Wisconsin",0
3175,"Rusk","Wisconsin",0
3176,"Sawyer","Wisconsin",0
3177,"Shawano","Wisconsin",0
3178,"Taylor","Wisconsin",0
3179,"Trempealeau","Wisconsin",0
3180,"Vernon","Wisconsin",0
3181,"Washburn","Wisconsin",0
3182,"Waushara","Wisconsin",0
3183,"Big Horn","Wyoming",0
3184,"Crook","Wyoming",0
3185,"Hot Springs","Wyoming",0
3186,"Lincoln","Wyoming",0
3187,"Niobrara","Wyoming",0
3188,"Platte","Wyoming",0
3189,"Uinta","Wyoming",0
3190,"Weston","Wyoming",0
3191,"Out of AL","Alabama",0
3192,"Out of AK","Alaska",0
3193,"Out of AZ","Arizona",0
3194,"Out of AR","Arkansas",0
3195,"Out of CA","California",0
3196,"Out of CO","Colorado",0
3197,"Out of CT","Connecticut",0
3198,"Out of DE","Delaware",0
3199,"Out of DC","District of Columbia",0
3200,"Out of FL","Florida",0
3201,"Out of GA","Georgia",0
3202,"Out of HI","Hawaii",0
3203,"Out of ID","Idaho",0
3204,"Out of IL","Illinois",0
3205,"Out of IN","Indiana",0
3206,"Out of IA","Iowa",0
3207,"Out of KS","Kansas",0
3208,"Out of KY","Kentucky",0
3209,"Out of LA","Louisiana",0
3210,"Out of ME","Maine",0
3211,"Out of MD","Maryland",0
3212,"Out of MA","Massachusetts",0
3213,"Out of MN","Minnesota",0
3214,"Out of MS","Mississippi",0
3215,"Out of MO","Missouri",0
3216,"Out of MT","Montana",0
3217,"Out of NE","Nebraska",0
3218,"Out of NV","Nevada",0
3219,"Out of NH","New Hampshire",0
3220,"Out of NJ","New Jersey",0
3221,"Out of NM","New Mexico",0
3222,"Out of NY","New York",0
3223,"Out of NC","North Carolina",0
3224,"Out of ND","North Dakota",0
3225,"Out of OH","Ohio",0
3226,"Out of OK","Oklahoma",0
3227,"Out of OR","Oregon",0
3228,"Out of PA","Pennsylvania",0
3229,"Out of RI","Rhode Island",0
3230,"Out of SC","South Carolina",0
3231,"Out of SD","South Dakota",0
3232,"Out of TX","Texas",0
3233,"Out of VT","Vermont",0
3234,"Out of VA","Virginia",0
3235,"Out of WA","Washington",0
3236,"Out of WV","West Virginia",0
3237,"Out of WI","Wisconsin",0
3238,"Out of WY","Wyoming",0
3239,"Unassigned","Arizona",0
3240,"Unassigned","Delaware",0
3241,"Unassigned","District of Columbia",0
3242,"Unassigned","Kansas",0
3243,"Unassigned","New Mexico",0
3244,"Unassigned","North Carolina",0
3245,"Unassigned","North Dakota",0
3246,"Unassigned","Ohio",0
3247,"Unassigned","Oklahoma",0
3248,"Unassigned","Oregon",0
3249,"Unassigned","Pennsylvania",0
3250,"Unassigned","South Carolina",0
3251,"Unassigned","South Dakota",0
3252,"Unassigned","West Virginia",0
3253,"Unassigned","Wyoming",0
