"Rank","City","State","Total cases as of 3/30"
2240,"Elmore","Idaho",0
2241,"Franklin","Idaho",0
2242,"Gooding","Idaho",0
2243,"Jerome","Idaho",0
2244,"Latah","Idaho",0
2245,"Lemhi","Idaho",0
2246,"Lewis","Idaho",0
2247,"Minidoka","Idaho",0
2248,"Oneida","Idaho",0
2249,"Power","Idaho",0
2250,"Shoshone","Idaho",0
2251,"Washington","Idaho",0
2252,"Alexander","Illinois",0
2253,"Boone","Illinois",0
2254,"Brown","Illinois",0
2255,"Calhoun","Illinois",0
2256,"Cass","Illinois",0
2257,"Clay","Illinois",0
2258,"De Witt","Illinois",0
2259,"Edgar","Illinois",0
2260,"Edwards","Illinois",0
2261,"Effingham","Illinois",0
2262,"Ford","Illinois",0
2263,"Fulton","Illinois",0
2264,"Gallatin","Illinois",0
2265,"Greene","Illinois",0
2266,"Hamilton","Illinois",0
2267,"Hancock","Illinois",0
2268,"Hardin","Illinois",0
2269,"Henderson","Illinois",0
2270,"Jasper","Illinois",0
2271,"Jefferson","Illinois",0
2272,"Jersey","Illinois",0
2273,"Johnson","Illinois",0
2274,"Lawrence","Illinois",0
2275,"Lee","Illinois",0
2276,"McDonough","Illinois",0
2277,"Macoupin","Illinois",0
2278,"Mason","Illinois",0
2279,"Massac","Illinois",0
2280,"Mercer","Illinois",0
2281,"Moultrie","Illinois",0
2282,"Ogle","Illinois",0
2283,"Perry","Illinois",0
2284,"Piatt","Illinois",0
2285,"Pike","Illinois",0
2286,"Pope","Illinois",0
2287,"Pulaski","Illinois",0
2288,"Putnam","Illinois",0
2289,"Richland","Illinois",0
2290,"Schuyler","Illinois",0
2291,"Scott","Illinois",0
2292,"Shelby","Illinois",0
2293,"Stark","Illinois",0
2294,"Union","Illinois",0
2295,"Vermilion","Illinois",0
2296,"Wabash","Illinois",0
2297,"Warren","Illinois",0
2298,"Wayne","Illinois",0
2299,"White","Illinois",0
2300,"Benton","Indiana",0
2301,"Blackford","Indiana",0
2302,"Daviess","Indiana",0
2303,"Jay","Indiana",0
2304,"Jefferson","Indiana",0
2305,"Martin","Indiana",0
2306,"Parke","Indiana",0
2307,"Perry","Indiana",0
2308,"Pike","Indiana",0
2309,"Pulaski","Indiana",0
2310,"Spencer","Indiana",0
2311,"Union","Indiana",0
2312,"Vermillion","Indiana",0
2313,"Adams","Iowa",0
2314,"Bremer","Iowa",0
2315,"Buena Vista","Iowa",0
2316,"Calhoun","Iowa",0
2317,"Cass","Iowa",0
2318,"Cherokee","Iowa",0
2319,"Chickasaw","Iowa",0
2320,"Clarke","Iowa",0
2321,"Clay","Iowa",0
2322,"Davis","Iowa",0
2323,"Decatur","Iowa",0
2324,"Delaware","Iowa",0
2325,"Emmet","Iowa",0
2326,"Floyd","Iowa",0
2327,"Franklin","Iowa",0
2328,"Fremont","Iowa",0
2329,"Greene","Iowa",0
2330,"Grundy","Iowa",0
2331,"Hamilton","Iowa",0
2332,"Howard","Iowa",0
2333,"Humboldt","Iowa",0
2334,"Ida","Iowa",0
2335,"Jefferson","Iowa",0
2336,"Lee","Iowa",0
2337,"Louisa","Iowa",0
2338,"Lucas","Iowa",0
2339,"Lyon","Iowa",0
2340,"Madison","Iowa",0
2341,"Marion","Iowa",0
2342,"Mills","Iowa",0
2343,"Mitchell","Iowa",0
2344,"Monroe","Iowa",0
2345,"O'Brien","Iowa",0
2346,"Osceola","Iowa",0
2347,"Palo Alto","Iowa",0
2348,"Plymouth","Iowa",0
2349,"Pocahontas","Iowa",0
2350,"Ringgold","Iowa",0
2351,"Sac","Iowa",0
2352,"Union","Iowa",0
2353,"Wayne","Iowa",0
2354,"Winnebago","Iowa",0
2355,"Worth","Iowa",0
2356,"Allen","Kansas",0
2357,"Anderson","Kansas",0
2358,"Barber","Kansas",0
2359,"Barton","Kansas",0
2360,"Brown","Kansas",0
2361,"Chase","Kansas",0
2362,"Chautauqua","Kansas",0
2363,"Cheyenne","Kansas",0
2364,"Clark","Kansas",0
2365,"Cloud","Kansas",0
2366,"Comanche","Kansas",0
2367,"Cowley","Kansas",0
2368,"Decatur","Kansas",0
2369,"Dickinson","Kansas",0
2370,"Edwards","Kansas",0
2371,"Elk","Kansas",0
2372,"Ellis","Kansas",0
2373,"Ellsworth","Kansas",0
2374,"Geary","Kansas",0
2375,"Graham","Kansas",0
2376,"Grant","Kansas",0
2377,"Gray","Kansas",0
2378,"Greeley","Kansas",0
2379,"Greenwood","Kansas",0
2380,"Hamilton","Kansas",0
2381,"Harper","Kansas",0
2382,"Haskell","Kansas",0
2383,"Hodgeman","Kansas",0
2384,"Jewell","Kansas",0
2385,"Kearny","Kansas",0
2386,"Kingman","Kansas",0
2387,"Kiowa","Kansas",0
2388,"Labette","Kansas",0
2389,"Lane","Kansas",0
2390,"Lincoln","Kansas",0
2391,"Logan","Kansas",0
2392,"Marion","Kansas",0
2393,"Marshall","Kansas",0
2394,"Meade","Kansas",0
2395,"Miami","Kansas",0
2396,"Morton","Kansas",0
2397,"Nemaha","Kansas",0
2398,"Ness","Kansas",0
2399,"Norton","Kansas",0
2400,"Osborne","Kansas",0
2401,"Pawnee","Kansas",0
2402,"Phillips","Kansas",0
2403,"Pratt","Kansas",0
2404,"Rawlins","Kansas",0
2405,"Republic","Kansas",0
2406,"Rice","Kansas",0
2407,"Rooks","Kansas",0
2408,"Rush","Kansas",0
2409,"Russell","Kansas",0
2410,"Scott","Kansas",0
2411,"Seward","Kansas",0
2412,"Sheridan","Kansas",0
2413,"Sherman","Kansas",0
2414,"Smith","Kansas",0
2415,"Stanton","Kansas",0
2416,"Thomas","Kansas",0
2417,"Trego","Kansas",0
2418,"Wabaunsee","Kansas",0
2419,"Wallace","Kansas",0
2420,"Washington","Kansas",0
2421,"Wichita","Kansas",0
2422,"Wilson","Kansas",0
2423,"Adair","Kentucky",0
2424,"Ballard","Kentucky",0
2425,"Bath","Kentucky",0
2426,"Bell","Kentucky",0
2427,"Boyd","Kentucky",0
2428,"Caldwell","Kentucky",0
2429,"Carlisle","Kentucky",0
2430,"Carter","Kentucky",0
2431,"Casey","Kentucky",0
2432,"Clay","Kentucky",0
2433,"Clinton","Kentucky",0
2434,"Crittenden","Kentucky",0
2435,"Cumberland","Kentucky",0
2436,"Edmonson","Kentucky",0
2437,"Elliott","Kentucky",0
2438,"Estill","Kentucky",0
2439,"Fleming","Kentucky",0
2440,"Fulton","Kentucky",0
2441,"Gallatin","Kentucky",0
2442,"Garrard","Kentucky",0
2443,"Graves","Kentucky",0
2444,"Green","Kentucky",0
2445,"Greenup","Kentucky",0
2446,"Harlan","Kentucky",0
2447,"Hart","Kentucky",0
2448,"Henry","Kentucky",0
2449,"Hickman","Kentucky",0
2450,"Jackson","Kentucky",0
2451,"Johnson","Kentucky",0
2452,"Knott","Kentucky",0
2453,"Knox","Kentucky",0
2454,"Lawrence","Kentucky",0
2455,"Lee","Kentucky",0
2456,"Leslie","Kentucky",0
2457,"Letcher","Kentucky",0
